Fuente;Módulo documento;Regla ID;Regla;Condición documento;Severidad documento;Severidad original;Impacto;Acción sugerida documento;Automatizable;Prioridad;¿Está considerado en MVP?;Módulo actual / recomendado;Observación de cobertura;Cómo mostrar en front;Módulo documento normalizado;Severidad normalizada;Estado revalidado;Módulo asignado revalidado;finding_code;Método de detección requerido;Requiere HTML parser;Requiere Playwright/Puppeteer;Requiere PageSpeed/Lighthouse;Requiere OCR/Vision;Sprint / versión objetivo;Mini especificación para considerado;Acción técnica requerida;Tabla BigQuery sugerida;Columnas nuevas sugeridas;Trazabilidad de componente requerida;Cómo mostrar en front actualizado;Nota de revalidación
reglas_calidad_web_claro(Tecnico).csv;Técnico;TECH_001;Página con status inválido;status != 200;Alta;Crítica;Indexación / UX;Corregir respuesta HTTP;Sí;Alta;Considerado;M2 Técnico;Se valida código HTTP mediante status_code y se puede marcar error cuando no es 200.;Badge Código HTTP con verde para 200, amarillo para 301/302 y rojo para 4xx/5xx.;Técnico;Alta;Considerado;M2 Technical Crawler;TECH_HTTP_STATUS_INVALID;HTML parser / crawler;Sí;No;No;No;Sprint 1 - MVP actual;;"Mantener en módulo actual; asegurar finding_code, severidad normalizada y visualización en front.";technical_crawl_results / technical_crawl_findings;finding_code, rule_id, element_tag, element_id, element_class, element_text, css_selector, xpath, dom_section, expected_value, actual_value;Parcial / cuando aplique;Mostrar en panel de hallazgos agrupado por finding_code y en drawer por URL con trazabilidad del elemento.;
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_002;Redirects;redirect<=1;Media;Media;SEO;Optimizar;Sí;Media;Considerado;M2 Técnico;"Se captura redirect_count; la regla debe alertar cuando supera el umbral permitido.";Badge/semáforo de redirecciones y alerta Media si supera el umbral.;Técnico;Media;Considerado;M2 Technical Crawler;TECH_REDIRECT_NOT_ALLOWED;HTML parser / crawler;Sí;No;No;No;Sprint 1 - MVP actual;;"Mantener en módulo actual; asegurar finding_code, severidad normalizada y visualización en front.";technical_crawl_results / technical_crawl_findings;finding_code, rule_id, element_tag, element_id, element_class, element_text, css_selector, xpath, dom_section, expected_value, actual_value;Parcial / cuando aplique;Mostrar en panel de hallazgos agrupado por finding_code y en drawer por URL con trazabilidad del elemento.;
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_003;Soft 404;soft_404 = FALSE;Alta;Alta;SEO técnico;Corregir lógica de respuesta;Sí;Alta;No considerado;M2 Técnico / Futuro;"Soft 404 requiere analizar contenido y status simultáneamente; no basta con status_code.";Mostrar como regla técnica avanzada en backlog.;Técnico;Alta;No considerado;M2 Technical Crawler;TECH_SOFT_404_DETECTED;HTML parser / crawler;Sí;No;No;No;Sprint 2 - Technical Crawler ampliado;;Implementar en M2 Technical Crawler según método de detección requerido.;technical_crawl_results / technical_crawl_findings;finding_code, rule_id, element_tag, element_id, element_class, element_text, css_selector, xpath, dom_section, expected_value, actual_value;Parcial / cuando aplique;Mostrar en panel de hallazgos agrupado por finding_code y en drawer por URL con trazabilidad del elemento.;
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_004;Redirect chain controlada;redirect_count <= 1;Media;Media;SEO / UX;Apuntar a URL final;Sí;Media;Considerado;M2 Técnico;"Se captura redirect_count; la regla debe alertar cuando supera el umbral permitido.";Badge/semáforo de redirecciones y alerta Media si supera el umbral.;Técnico;Media;Considerado;M2 Technical Crawler;TECH_REDIRECT_CHAIN;HTML parser / crawler;Sí;No;No;No;Sprint 1 - MVP actual;;"Mantener en módulo actual; asegurar finding_code, severidad normalizada y visualización en front.";technical_crawl_results / technical_crawl_findings;finding_code, rule_id, element_tag, element_id, element_class, element_text, css_selector, xpath, dom_section, expected_value, actual_value;Parcial / cuando aplique;Mostrar en panel de hallazgos agrupado por finding_code y en drawer por URL con trazabilidad del elemento.;
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_005;Content-Type correcto;content_type = 'text/html';Media;Media;Técnico;Corregir headers;Sí;Media;Parcial;M2 Técnico;"La regla corresponde al header content_type; si el crawler lo está capturando, falta exponerlo/alertarlo consistentemente.";Mostrar Tipo de contenido como badge y alertar si no es HTML en páginas auditables.;Técnico;Media;Parcial;M2 Technical Crawler;TECH_INVALID_CONTENT_TYPE;HTML parser / crawler;Sí;No;No;No;Sprint 2 - Technical Crawler ampliado;Falta validar content_type contra el HTML real, registrar content_type_valid y generar finding si la URL auditable no devuelve text/html o devuelve contenido inconsistente.;Completar la mini-especificación indicada para pasar la regla a Considerado.;technical_crawl_results / technical_crawl_findings;finding_code, rule_id, element_tag, element_id, element_class, element_text, css_selector, xpath, dom_section, expected_value, actual_value;Parcial / cuando aplique;Mostrar en panel de hallazgos agrupado por finding_code y en drawer por URL con trazabilidad del elemento.;"Cobertura parcial; ver mini especificación para completar implementación."
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_006;Tiempo de respuesta base alineado;"response_time_ms: <400 Bueno; 400-1000 Media; >1000 Alta";Alta;Alta;UX / Infra;Optimizar backend;Sí;Alta;Considerado;M2 Técnico;"Se captura response_time_ms; se alinea el umbral oficial para backend, frontend y documentación.";Semáforo de velocidad: <400ms bueno, 400-1000ms medio, >1000ms alto.;Técnico;Alta;Considerado;M2 Technical Crawler;TECH_RESPONSE_TIME_HIGH;HTML parser / crawler;Sí;No;No;No;Sprint 1 - MVP actual;;Actualizar backend y frontend para usar umbral oficial: <400ms Bueno, 400-1000ms Media, >1000ms Alta.;technical_crawl_results / technical_crawl_findings;response_time_ms, speed_status, severity, finding_code=TECH_RESPONSE_TIME_HIGH;Parcial / cuando aplique;"Semáforo de velocidad: verde <400ms, Media 400-1000ms, Alta >1000ms; mostrar badge y detalle por URL.";Umbral corregido: se elimina referencia a 2000ms y se alinea con semáforo del front (>1000ms = Alta).
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_007;Compresión habilitada;compression_enabled = TRUE;Media;Media;Performance;Activar gzip/br;Sí;Media;No considerado;M2 Técnico / Performance;No se valida gzip/brotli en headers de respuesta.;Agregar badge Compresión cuando se implemente.;Técnico;Media;No considerado;M2 Technical Crawler;TECH_COMPRESSION_DISABLED;HTML parser / crawler;Sí;No;No;No;Sprint 2 - Technical Crawler ampliado;;Implementar en M2 Technical Crawler según método de detección requerido.;technical_crawl_results / technical_crawl_findings;finding_code, rule_id, element_tag, element_id, element_class, element_text, css_selector, xpath, dom_section, expected_value, actual_value;Parcial / cuando aplique;Mostrar en panel de hallazgos agrupado por finding_code y en drawer por URL con trazabilidad del elemento.;
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_008;HTTPS obligatorio;https_only = TRUE;Alta;Crítica;Seguridad / UX;Redirigir y forzar HTTPS;Sí;Alta;No considerado;M2 Técnico;Aunque las URLs del sitemap son HTTPS, no se valida enforcement HTTP→HTTPS ni HSTS.;Agregar check HTTPS/HSTS cuando se implemente.;Técnico;Alta;No considerado;M2 Technical Crawler;TECH_HTTPS_MISSING;HTML parser / crawler;Sí;No;No;No;Sprint 2 - Technical Crawler ampliado;;Implementar en M2 Technical Crawler según método de detección requerido.;technical_crawl_results / technical_crawl_findings;finding_code, rule_id, element_tag, element_id, element_class, element_text, css_selector, xpath, dom_section, expected_value, actual_value;Parcial / cuando aplique;Mostrar en panel de hallazgos agrupado por finding_code y en drawer por URL con trazabilidad del elemento.;
reglas_calidad_web_claro(Contenido).csv;Contenido;CONT_001;Palabras prohibidas;forbidden=0;Alta;Alta;Legal;Corregir texto;Sí;Alta;No considerado;M7 Contenido;Requiere reglas de contenido, diccionarios legales/comerciales y revisión semántica.;Mostrar tablero de contenido cuando se implemente.;Contenido;Alta;No considerado;M5 Content / UI Compliance;CONTENT_PALABRAS_PROHIBIDAS;HTML parser + reglas de contenido + Playwright cuando aplique;Sí;No;No;No;Sprint 5 - Content / UI Compliance;;Crear/ampliar M5 Content/UI Compliance con reglas por tipo de página y trazabilidad del contenido afectado.;content_validation_results / content_validation_findings;finding_code, rule_id, element_tag, element_id, element_class, element_text, css_selector, xpath, dom_section, expected_value, actual_value;Sí;Mostrar en panel de hallazgos agrupado por finding_code y en drawer por URL con trazabilidad del elemento.;
reglas_calidad_web_claro(Contenido).csv;Contenido;CONT_002;Disclaimers;required_terms=TRUE;Alta;Alta;Legal;Agregar disclaimer;Sí;Alta;Parcial;M7 Contenido / M3 SEO;Existe señal parcial de términos/condiciones, pero no un validador semántico/legal completo.;Mostrar checklist legal/comercial cuando exista diccionario de términos obligatorios.;Contenido;Alta;Parcial;M5 Content / UI Compliance;CONTENT_DISCLAIMERS;HTML parser + reglas de contenido + Playwright cuando aplique;Sí;No;No;No;Sprint 5 - Content / UI Compliance;Falta definir catálogo de disclaimers obligatorios por tipo de página y validar presencia/ubicación del texto en DOM con selector, XPath y sección.;Crear/ampliar M5 Content/UI Compliance con reglas por tipo de página y trazabilidad del contenido afectado.;content_validation_results / content_validation_findings;finding_code, rule_id, element_tag, element_id, element_class, element_text, css_selector, xpath, dom_section, expected_value, actual_value;Sí;Mostrar en panel de hallazgos agrupado por finding_code y en drawer por URL con trazabilidad del elemento.;"Cobertura parcial; ver mini especificación para completar implementación."
