Fuente;Módulo documento;Regla ID;Regla;Condición documento;Severidad documento;Severidad original;Impacto;Acción sugerida documento;Automatizable;Prioridad;¿Está considerado en MVP?;Módulo actual / recomendado;Observación de cobertura;Cómo mostrar en front;
reglas_calidad_web_claro(Tecnico).csv;Técnico;TECH_001;Página con status inválido;status != 200;Alta;Crítica;Indexación / UX;Corregir respuesta HTTP;Sí;Alta;Considerado;M2 Técnico;Se valida código HTTP mediante status_code y se puede marcar error cuando no es 200.;Badge Código HTTP con verde para 200, amarillo para 301/302 y rojo para 4xx/5xx.;
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_002;Redirects;redirect<=1;Media;Media;SEO;Optimizar;Sí;Media;Considerado;M2 Técnico;"Se captura redirect_count; la regla debe alertar cuando supera el umbral permitido.";Badge/semáforo de redirecciones y alerta Media si supera el umbral.;
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_003;Soft 404;soft_404 = FALSE;Alta;Alta;SEO técnico;Corregir lógica de respuesta;Sí;Alta;No considerado;M2 Técnico / Futuro;"Soft 404 requiere analizar contenido y status simultáneamente; no basta con status_code.";Mostrar como regla técnica avanzada en backlog.;
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_004;Redirect chain controlada;redirect_count <= 1;Media;Media;SEO / UX;Apuntar a URL final;Sí;Media;Considerado;M2 Técnico;"Se captura redirect_count; la regla debe alertar cuando supera el umbral permitido.";Badge/semáforo de redirecciones y alerta Media si supera el umbral.;
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_005;Content-Type correcto;content_type = 'text/html';Media;Media;Técnico;Corregir headers;Sí;Media;Parcial;M2 Técnico;"La regla corresponde al header content_type; si el crawler lo está capturando, falta exponerlo/alertarlo consistentemente.";Mostrar Tipo de contenido como badge y alertar si no es HTML en páginas auditables.;
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_006;Tiempo de respuesta base;response_time_ms <= 2000;Alta;Alta;UX / Infra;Optimizar backend;Sí;Alta;Considerado;M2 Técnico;"Se captura response_time_ms; se puede aplicar umbral de tiempo de respuesta.";Semáforo de velocidad: <400ms bueno, 400-1000ms medio, >1000ms alto.;
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_007;Compresión habilitada;compression_enabled = TRUE;Media;Media;Performance;Activar gzip/br;Sí;Media;No considerado;M2 Técnico / Performance;No se valida gzip/brotli en headers de respuesta.;Agregar badge Compresión cuando se implemente.;
reglas_calidad_web_claro(Tecnico).csv;Tecnico;TECH_008;HTTPS obligatorio;https_only = TRUE;Alta;Crítica;Seguridad / UX;Redirigir y forzar HTTPS;Sí;Alta;No considerado;M2 Técnico;Aunque las URLs del sitemap son HTTPS, no se valida enforcement HTTP→HTTPS ni HSTS.;Agregar check HTTPS/HSTS cuando se implemente.;
reglas_calidad_web_claro(Contenido).csv;Contenido;CONT_001;Palabras prohibidas;forbidden=0;Alta;Alta;Legal;Corregir texto;Sí;Alta;No considerado;M7 Contenido;Requiere reglas de contenido, diccionarios legales/comerciales y revisión semántica.;Mostrar tablero de contenido cuando se implemente.;
reglas_calidad_web_claro(Contenido).csv;Contenido;CONT_002;Disclaimers;required_terms=TRUE;Alta;Alta;Legal;Agregar disclaimer;Sí;Alta;Parcial;M7 Contenido / M3 SEO;Existe señal parcial de términos/condiciones, pero no un validador semántico/legal completo.;Mostrar checklist legal/comercial cuando exista diccionario de términos obligatorios.;
reglas_calidad_web_claro(Contenido).csv;Contenido;CONT_003;Campañas vencidas;expired_campaign_terms = 0;Alta;Alta;Negocio / Marca;Actualizar campaña;Sí;Alta;No considerado;M7 Contenido;Requiere reglas de contenido, diccionarios legales/comerciales y revisión semántica.;Mostrar tablero de contenido cuando se implemente.;
reglas_calidad_web_claro(Contenido).csv;Contenido;CONT_004;Menciones de competidores prohibidas;competitor_mentions_unauthorized = 0;Media;Media;Marca;Corregir contenido;Sí;Media;No considerado;M7 Contenido;Requiere reglas de contenido, diccionarios legales/comerciales y revisión semántica.;Mostrar tablero de contenido cuando se implemente.;
reglas_calidad_web_claro(Contenido).csv;Contenido;CONT_005;Stock/condiciones obligatorias;mandatory_stock_or_conditions = TRUE;Alta;Alta;Negocio / Legal;Agregar condiciones;Sí;Alta;Parcial;M7 Contenido / M3 SEO;Existe señal parcial de términos/condiciones, pero no un validador semántico/legal completo.;Mostrar checklist legal/comercial cuando exista diccionario de términos obligatorios.;
reglas_calidad_web_claro(Contenido).csv;Contenido;CONT_007;Contenido placeholder;placeholder_terms_found = 0;Alta;Alta;UX / Marca;Corregir contenido;Sí;Alta;No considerado;M7 Contenido;Requiere reglas de contenido, diccionarios legales/comerciales y revisión semántica.;Mostrar tablero de contenido cuando se implemente.;
reglas_calidad_web_claro(Tagging).csv;Tagging;TAG_001;GTM presente;gtm=TRUE;Alta;Alta;Medición;Implementar GTM;Sí;Alta;Considerado;M4 Tagging;Se valida presencia de GTM/GA4 por URL.;"Mostrar check verde si existe; alerta Alta si falta.";
reglas_calidad_web_claro(Tagging).csv;Tagging;TAG_002;GA4 presente;ga4=TRUE;Alta;Alta;Analytics;Implementar GA4;Sí;Alta;Considerado;M4 Tagging;Se valida presencia de GTM/GA4 por URL.;"Mostrar check verde si existe; alerta Alta si falta.";
reglas_calidad_web_claro(Links) (1).csv;Links;LINK_001;Links internos rotos;broken_internal=0;Alta;Alta;SEO / UX;Corregir links;Sí;Alta;No considerado;M5 Links;"Requiere crawler de enlaces internos/externos, imágenes, PDFs y anchors; no está implementado en MVP.";Mostrar panel de enlaces rotos por tipo y severidad.;
reglas_calidad_web_claro(Links) (1).csv;Links;LINK_002;Enlaces externos rotos críticos;broken_external_critical = 0;Media;Media;UX;Actualizar o remover enlace;Sí;Media;No considerado;M5 Links;"Requiere crawler de enlaces internos/externos, imágenes, PDFs y anchors; no está implementado en MVP.";Mostrar panel de enlaces rotos por tipo y severidad.;
reglas_calidad_web_claro(Links) (1).csv;Links;LINK_003;Imágenes rotas;broken_images = 0;Media;Media;UX / Marca;Corregir ruta o asset;Sí;Media;No considerado;M5 Links;"Requiere crawler de enlaces internos/externos, imágenes, PDFs y anchors; no está implementado en MVP.";Mostrar panel de enlaces rotos por tipo y severidad.;
